trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.85, 'e': 0.4038069876177639}",25,0,-66.85399384840134,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.85, 'e': 0.3977498828034975}",25,0,-40.566383805481,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
63,False,"{'a': 0.85, 'e': 0.391783634561445}",25,5,7.529970016997597,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.85, 'e': 0.3859068800430233}",25,0,-42.7341049325137,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 0}",0
65,False,"{'a': 0.85, 'e': 0.380118276842378}",20,0,-3.2670494290005925,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.85, 'e': 0.3744165026897423}",25,13,22.3544255136053,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.85, 'e': 0.36880025514939613}",20,8,3.469571973827921,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.85, 'e': 0.3632682513221552}",30,0,-19.881247161944486,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
69,False,"{'a': 0.85, 'e': 0.35781922755232287}",20,8,18.79013617307035,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.85, 'e': 0.352451939139038}",25,0,-62.902314461903714,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.85, 'e': 0.34716516005195247}",20,0,5.89967649749262,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.85, 'e': 0.34195768265117316}",20,0,5.969034920710033,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.85, 'e': 0.33682831741140556}",25,9,18.02733657347242,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.85, 'e': 0.33177589265023444}",20,0,-50.08947100610709,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.85, 'e': 0.32679925426048095}",20,8,11.95512799233508,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.85, 'e': 0.3218972654465737}",25,0,-12.71725157065038,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.85, 'e': 0.3170688064648751}",30,14,0.4870153724365407,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.85, 'e': 0.312312774367902}",25,0,22.887534307089417,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.85, 'e': 0.30762808275238346}",25,14,-32.39598768279462,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.85, 'e': 0.3030136615110977}",25,13,23.352676845882918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.85, 'e': 0.29846845658843124}",25,0,12.756510763133676,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
82,False,"{'a': 0.85, 'e': 0.29399142973960474}",25,3,-23.513107808562772,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
